lookupVariable,lookupValue_na,lookupValue,newVariable,newValue
Species,resourcePotentialesswss753BIOMASS,resourcePotentialesswss753BIOMASS.csv,Spp,Albino Anglemouth
Species,resourcePotentialesswss754BIOMASS,resourcePotentialesswss754BIOMASS.csv,Spp,Brauers Anglemouth
Species,resourcePotentialesswss755BIOMASS,resourcePotentialesswss755BIOMASS.csv,Spp,Anglemouth (Ns)
Species,resourcePotentialesswss756BIOMASS,resourcePotentialesswss756BIOMASS.csv,Spp,Dragonfish Unid
Species,resourcePotentialesswss757BIOMASS,resourcePotentialesswss757BIOMASS.csv,Spp,Little Morid
Species,resourcePotentialesswss758BIOMASS,resourcePotentialesswss758BIOMASS.csv,Spp,Dofleins Lanternfish
Species,resourcePotentialesswss759BIOMASS,resourcePotentialesswss759BIOMASS.csv,Spp,Pipefish Uniden.
Species,resourcePotentialesswss760BIOMASS,resourcePotentialesswss760BIOMASS.csv,Spp,M. E. Johnsoni
Species,resourcePotentialesswss761BIOMASS,resourcePotentialesswss761BIOMASS.csv,Spp,C. Longiceps
Species,resourcePotentialesswss762BIOMASS,resourcePotentialesswss762BIOMASS.csv,Spp,D. Allector
Species,resourcePotentialesswss763BIOMASS,resourcePotentialesswss763BIOMASS.csv,Spp,L. Beebei
Species,resourcePotentialesswss764BIOMASS,resourcePotentialesswss764BIOMASS.csv,Spp,L. Gracili
Species,resourcePotentialesswss765BIOMASS,resourcePotentialesswss765BIOMASS.csv,Spp,L. Acanthognatus
Species,resourcePotentialesswss766BIOMASS,resourcePotentialesswss766BIOMASS.csv,Spp,M. Microlop
Species,resourcePotentialesswss767BIOMASS,resourcePotentialesswss767BIOMASS.csv,Spp,O. Eschrichtii
Species,resourcePotentialesswss768BIOMASS,resourcePotentialesswss768BIOMASS.csv,Spp,Oneirodes Sp.
Species,resourcePotentialesswss769BIOMASS,resourcePotentialesswss769BIOMASS.csv,Spp,Mummichog
Species,resourcePotentialesswss770BIOMASS,resourcePotentialesswss770BIOMASS.csv,Spp,Atlantic Silverside
Species,resourcePotentialesswss771BIOMASS,resourcePotentialesswss771BIOMASS.csv,Spp,Beardfish
Species,resourcePotentialesswss772BIOMASS,resourcePotentialesswss772BIOMASS.csv,Spp,Spinyfin
Species,resourcePotentialesswss773BIOMASS,resourcePotentialesswss773BIOMASS.csv,Spp,G. Darwini
Species,resourcePotentialesswss774BIOMASS,resourcePotentialesswss774BIOMASS.csv,Spp,Ogrefish
Species,resourcePotentialesswss775BIOMASS,resourcePotentialesswss775BIOMASS.csv,Spp,Alfonsin A Casta Larga
Species,resourcePotentialesswss776BIOMASS,resourcePotentialesswss776BIOMASS.csv,Spp,Alfonsin A Casta
Species,resourcePotentialesswss777BIOMASS,resourcePotentialesswss777BIOMASS.csv,Spp,Grammicolepid
Species,resourcePotentialesswss778BIOMASS,resourcePotentialesswss778BIOMASS.csv,Spp,Opah
Species,resourcePotentialesswss779BIOMASS,resourcePotentialesswss779BIOMASS.csv,Spp,Lined Seahorse
Species,resourcePotentialesswss780BIOMASS,resourcePotentialesswss780BIOMASS.csv,Spp,Bluespotted Cornetfish
Species,resourcePotentialesswss781BIOMASS,resourcePotentialesswss781BIOMASS.csv,Spp,Flumefish
Species,resourcePotentialesswss782BIOMASS,resourcePotentialesswss782BIOMASS.csv,Spp,Apogon Sellicaude
Species,resourcePotentialesswss783BIOMASS,resourcePotentialesswss783BIOMASS.csv,Spp,Sherborns Cardinalfish
Species,resourcePotentialesswss784BIOMASS,resourcePotentialesswss784BIOMASS.csv,Spp,Black Scabbardfish
Species,resourcePotentialesswss785BIOMASS,resourcePotentialesswss785BIOMASS.csv,Spp,Silver-Rag
Species,resourcePotentialesswss786BIOMASS,resourcePotentialesswss786BIOMASS.csv,Spp,Cornish Blackfish
Species,resourcePotentialesswss787BIOMASS,resourcePotentialesswss787BIOMASS.csv,Spp,Black Ruff
Species,resourcePotentialesswss788BIOMASS,resourcePotentialesswss788BIOMASS.csv,Spp,Man-Of-War Fish
Species,resourcePotentialesswss789BIOMASS,resourcePotentialesswss789BIOMASS.csv,Spp,Silver Driftfish
Species,resourcePotentialesswss790BIOMASS,resourcePotentialesswss790BIOMASS.csv,Spp,Bigeye Squaretail
Species,resourcePotentialesswss791BIOMASS,resourcePotentialesswss791BIOMASS.csv,Spp,Smalleye Squaretail
Species,resourcePotentialesswss792BIOMASS,resourcePotentialesswss792BIOMASS.csv,Spp,Oceanic Puffer
Species,resourcePotentialesswss793BIOMASS,resourcePotentialesswss793BIOMASS.csv,Spp,Striped Burrfish
Species,resourcePotentialesswss794BIOMASS,resourcePotentialesswss794BIOMASS.csv,Spp,Trunkfish
Species,resourcePotentialesswss795BIOMASS,resourcePotentialesswss795BIOMASS.csv,Spp,Beans Blueback
Species,resourcePotentialesswss796BIOMASS,resourcePotentialesswss796BIOMASS.csv,Spp,S. Opisthopteru
Species,resourcePotentialesswss797BIOMASS,resourcePotentialesswss797BIOMASS.csv,Spp,P. Megalops
Species,resourcePotentialesswss798BIOMASS,resourcePotentialesswss798BIOMASS.csv,Spp,Melamphaes Microps
Species,resourcePotentialesswss799BIOMASS,resourcePotentialesswss799BIOMASS.csv,Spp,P. Capito
Species,resourcePotentialesswss800BIOMASS,resourcePotentialesswss800BIOMASS.csv,Spp,P. Crassiceps
Species,resourcePotentialesswss801BIOMASS,resourcePotentialesswss801BIOMASS.csv,Spp,Snakefish
Species,resourcePotentialesswss802BIOMASS,resourcePotentialesswss802BIOMASS.csv,Spp,Berycoid Fish
Species,resourcePotentialesswss803BIOMASS,resourcePotentialesswss803BIOMASS.csv,Spp,Cobia
Species,resourcePotentialesswss804BIOMASS,resourcePotentialesswss804BIOMASS.csv,Spp,"Gobies,Unidentified"
Species,resourcePotentialesswss805BIOMASS,resourcePotentialesswss805BIOMASS.csv,Spp,Tonguefish
Species,resourcePotentialesswss806BIOMASS,resourcePotentialesswss806BIOMASS.csv,Spp,Flying Gurnard
Species,resourcePotentialesswss807BIOMASS,resourcePotentialesswss807BIOMASS.csv,Spp,Shortjaw Lizardfish
Species,resourcePotentialesswss808BIOMASS,resourcePotentialesswss808BIOMASS.csv,Spp,Red Lizardfish
Species,resourcePotentialesswss809BIOMASS,resourcePotentialesswss809BIOMASS.csv,Spp,Smooth Trunkfish
Species,resourcePotentialesswss810BIOMASS,resourcePotentialesswss810BIOMASS.csv,Spp,Pipehorse
Species,resourcePotentialesswss811BIOMASS,resourcePotentialesswss811BIOMASS.csv,Spp,Myctophiformes
Species,resourcePotentialesswss812BIOMASS,resourcePotentialesswss812BIOMASS.csv,Spp,Synodus Sp.
Species,resourcePotentialesswss813BIOMASS,resourcePotentialesswss813BIOMASS.csv,Spp,Ariomma Sp.
Species,resourcePotentialesswss814BIOMASS,resourcePotentialesswss814BIOMASS.csv,Spp,Bathysaurus Ferox
Species,resourcePotentialesswss815BIOMASS,resourcePotentialesswss815BIOMASS.csv,Spp,Eutaeniophorus Sp.
Species,resourcePotentialesswss816BIOMASS,resourcePotentialesswss816BIOMASS.csv,Spp,Tongue Fish
Species,resourcePotentialesswss817BIOMASS,resourcePotentialesswss817BIOMASS.csv,Spp,Leptostomias Sp.
Species,resourcePotentialesswss818BIOMASS,resourcePotentialesswss818BIOMASS.csv,Spp,A. Tittmanni
Species,resourcePotentialesswss819BIOMASS,resourcePotentialesswss819BIOMASS.csv,Spp,Loosejaws (Ns)
Species,resourcePotentialesswss820BIOMASS,resourcePotentialesswss820BIOMASS.csv,Spp,C. Pauciradiatus
Species,resourcePotentialesswss821BIOMASS,resourcePotentialesswss821BIOMASS.csv,Spp,Driftfishes
Species,resourcePotentialesswss822BIOMASS,resourcePotentialesswss822BIOMASS.csv,Spp,Psenes Pellucidus
Species,resourcePotentialesswss823BIOMASS,resourcePotentialesswss823BIOMASS.csv,Spp,Sargocentron Bullisi
Species,resourcePotentialesswss824BIOMASS,resourcePotentialesswss824BIOMASS.csv,Spp,B. Tenuis
Species,resourcePotentialesswss825BIOMASS,resourcePotentialesswss825BIOMASS.csv,Spp,Stomias Affinis
